,texto,polaridad
697,"Es un pedazo de basura mediocre, miserable, hueco, risible y predecible.",negativo
369,Se merece 5 estrellas.,positivo
28,Se merece un amor fuerte. 1,positivo
281,"De nuevo, cojo.",negativo
608,¡Y los acentos son absolutamente abismales!,negativo
380,Todo lo que hace esta película es que te enfermas al ver a todos estos holgazanes poner excusas por sus acciones estúpidas durante 90 minutos.,negativo
124,"Pensamos que tendrías que aventurarte más lejos para conseguir un buen sushi, pero este lugar realmente golpeó el lugar esa noche.",positivo
255,Teníamos 7 en nuestra mesa y el servicio fue bastante rápido.,positivo
270,"Es un excelente drama, un excelente thriller y una excelente película.",positivo
293,NO COMPRAR ESTE TELÉFONO.,negativo
204,La batería dura solo unas horas.,negativo
750,"Pude disfrutar de la ensalada de mariscos, con un fabuloso vinegrette.",positivo
849,Es como una mala película de televisión de dos horas.,negativo
701,No se puede superar el precio de estos.,positivo
302,Literalmente vomité mientras veía esta película.,negativo
786,"Me encantan las películas de Scream y todas las películas de terror, y esta se ubica muy arriba.",positivo
522,"Una comida grasienta, poco saludable.",negativo
31,¡Esto fue como el golpe final!,negativo
418,"La primera vez que voy, pero creo que rápidamente me convertiré en un habitual.",positivo
87,La construcción de los auriculares es pobre.,negativo
445,"La actuación fue decididamente de madera, aunque no peor que una película de época B Universal.",negativo
651,Encontré el producto fácil de configurar y usar.,positivo
28,"Tardé una hora en conseguir nuestra comida, solo 4 mesas en el restaurante, mi comida estaba tibia con Luke, nuestro servidor estaba corriendo como si estuviera totalmente abrumado.",negativo
713,"Jabra geles para la oreja ""R"" los mejores !.",positivo
313,Muy entretenido en todos los ángulos.,positivo
321,"Además, las papas fritas son sin duda las peores papas que he tenido.",negativo
722,"La comida estuvo buena como siempre, felicitaciones al chef.",positivo
200,Este es definitivamente uno de los malos.,negativo
137,Este es uno de los mejores bares con comida de Las Vegas.,positivo
244,"como dijo el otro crítico, ""no podrías pagarme para comer en este lugar otra vez"".",negativo
346,"Este lugar es como Chipotle, pero MEJOR.",positivo
478,"La escritura pirateada, sin duda, pero empeoró aún más por la mala dirección.",negativo
234,No malgastes tu tiempo.,negativo
261,Solo tuve esto un mes pero ha funcionado perfectamente hasta ahora.,positivo
661,"Muy conveniente, ya que estábamos alojados en el MGM!",positivo
410,Estaré buscando un nuevo auricular.,negativo
557,"Los he comprado para familiares y amigos, y todos disfrutan de su claridad y facilidad de uso.",positivo
757,¡Este es un excelente lugar para comer!,positivo
175,Excelente teléfono en una gran red.,positivo
652,Es PERFECTO para una comida familiar sentada o reunirse con algunos amigos.,positivo
787,"No tengo muchas palabras que decir sobre este lugar, pero hace todo muy bien.",positivo
68,Ideal para iPODs también.,positivo
942,"El micrófono allí es una broma, y ​​el volumen es bastante bajo.",negativo
746,"De hecho, me gustó más que Entrevista con un vampiro y me gustó este Lestat (Stuart Townsend) más que el intento de Cruise.",positivo
254,Las secuencias de conciertos simplemente apestaron.,negativo
208,Debe haber sido una noche de descanso en este lugar.,negativo
68,"No estoy seguro de quién estaba más perdido: los personajes planos o el público, casi la mitad de los cuales se fueron.",negativo
278,"Si fue para convertir mi buen día en una noche de recuerdos inquietantes, supongo que tuvo éxito.",negativo
233,"Pedí una hamburguesa doble con queso y conseguí una sola empanada que se estaba cayendo a pedazos (foto cargada) Sí, todavía apesta.",negativo
490,Volveré muchas veces pronto,positivo
570,"Mi experiencia fue terrible ... Este fue mi cuarto auricular Bluetooth, y aunque fue mucho más cómodo que mi último Jabra (¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡",negativo
900,"De lo contrario, ni siquiera pierdas tu tiempo en esto.",negativo
851,El diálogo es atroz.,negativo
558,El guión es un gran lío defectuoso.,negativo
160,¡NO HAY PARCELA O HISTORIA!,negativo
667,"Se ve bien en la foto, pero este caso fue una gran decepción!",negativo
799,"La forma en que se lanzó esta basura fue más allá de mí: la actuación, la historia, los personajes, los efectos supuestamente especiales, etc. Todo está mal.",negativo
209,"Los lados son deliciosos - hongos mixtos, puré de oro yukon, maíz blanco - beateous.",positivo
416,Pero ahora estaba completamente enojado.,negativo
318,"Y considerando que los dos nos fuimos muy llenos y felices por alrededor de $ 20, simplemente no puedes equivocarte.",positivo
607,Sprint cobra por este servicio.,negativo
880,Encontré un trozo de alambre de seis pulgadas de largo en mi salsa.,negativo
979,No hay suficiente volumen.,negativo
983,"Si no has visto esta película, definitivamente la recomiendo!",positivo
886,"No quería que el clip pasara por encima de mi oreja, causando incomodidad.",negativo
219,De ahí que toda la historia carezca de cierta energía.,negativo
694,¡No te arrepentirás!,positivo
882,Definitivamente disfrutamos de nosotros mismos.,positivo
223,Esperemos que esto sea un impedimento para que salgan del negocio y pueda entrar alguien que pueda cocinar.,negativo
709,"Cada vez que él abrió la boca que esperas oír, ves a los niños ... Sacar el tapón fue un asesinato piadoso para este espectáculo horrible.",negativo
646,El teléfono es robusto como todos los teléfonos de la barra de Nokia.,positivo
10,El servicio fue muy rápido.,positivo
802,Star Trek V La última frontera es la peor de la serie.,negativo
835,"Las llamadas se caen, el teléfono se enciende y se apaga a voluntad, la pantalla se pone en negro y, lo peor de todo, deja de sonar de forma intermitente.",negativo
341,Es un muy buen espectáculo para ver.,positivo
791,"Esta película destaca los defectos fundamentales del proceso legal, que no se trata de descubrir la culpa o la inocencia, sino que trata de quién se presenta mejor en el tribunal.",positivo
637,"Sin embargo, otra película maravillosa del establo del gran maestro.",positivo
599,"Por el precio en Amazon, es un producto excelente, que recomiendo altamente.",positivo
560,Mi ensalada tenía un vinegrette suave en los verdes de bebé y corazones de Palm.,negativo
598,Realmente disfruté de Crema Café antes de que se expandieran	 Incluso les dije a mis amigos que tenían el mejor desayuno.,positivo
395,Mejor de lo que esperas.,positivo
289,"Incluso Billy Bob no pudo elevarse por encima del guión, que era peor.",negativo
673,Todos los jugadores principales son fascinantes.,positivo
536,"El alcance de Bluetooth es bueno: hace unos días dejé mi teléfono en el maletero, recibí una llamada y mantuve la conversación sin ningún problema.",positivo
51,"Además de tener una de las canciones más hermosas jamás escritas, French Cancan también cuenta con una de las damas más lindas y guapas de la pantalla. 1",positivo
249,"¡La mala escritura, la mala dirección y la actuación horrible hacen que este sea claramente malo!",negativo
299,"No podría pensar en una mejor manera de terminar la película, ¡pero una sonrisa en mi cara, una excelente manera de concluir una película y una trilogía asombrosas!",positivo
557,Creo que este restaurante sufre de no esforzarse lo suficiente.,negativo
611,Creo que Pitch Black se hizo bien.,positivo
484,Delicioso y sin duda volveré!,positivo
230,Esta maravillosa experiencia hizo de este lugar una parada obligada cuando estamos en la ciudad nuevamente.,positivo
687,La decoración es agradable y la banda sonora de la música de piano es agradable.,positivo
717,Puedes encontrar mejores películas en youtube.,negativo
464,El interior es muy bonito y muy limpio.,positivo
72,El servicio fue meh.,negativo
629,Recomiendo iGo a cualquier persona con teléfonos celulares / reproductores de mp3 de diferentes marcas en la familia.,positivo
573,Estoy muy feliz,positivo
708,"Nunca he oído hablar de ninguno de ellos, excepto Cole, que era totalmente increíble en la parte.",negativo
324,"Tengo 2-3 barras en mi teléfono celular cuando estoy en casa, pero no puedes escuchar nada.",negativo
423,Ahora fuimos elegidos para ser torturados con esta repugnante pieza de propaganda estadounidense descarada.,negativo
636,Traté de ir aquí para el almuerzo y fue un manicomio.,negativo
927,"Pero es genial, realmente lo recomendaría.",positivo
767,"Estoy tan cansada de los clichés que es solo una escritura perezosa, y aquí vienen de forma rápida y espesa.",negativo
883,"Pedí sopa de albondigas, que estaba tibia, y sabía a sopa de tomate con albóndigas congeladas.",negativo
26,Los gráficos están lejos de ser la mejor parte del juego. 0,negativo
892,Excelente producto por el precio.,positivo
435,Era una enorme y torpe pieza de vaca de 1.5 lb que tenía 3/4 de grasa y era de grietas.,negativo
182,La calidad del sonido es buena y la funcionalidad es impresionante.,positivo
520,Es un millón de veces lejos de la realidad.,negativo
512,"De lejos, los mejores quesos que hemos tenido!",positivo
455,Las alitas de pollo contenían la carne de pollo más seca que he comido.,negativo
670,Esta es una película impresionante.,positivo
384,Podrían ser utilizados como ejemplares para cualquier escenógrafo.,positivo
886,Evitar a cualquier costo.,negativo
959,"Sin embargo, los teclados son tan pequeños que a veces llego a los botones equivocados.",negativo
188,Desperdicio de 13 dólares.,negativo
876,He tenido mejores panecillos de la tienda de comestibles.,negativo
732,T-Mobile tiene el mejor servicio al cliente en cualquier lugar.,positivo
173,Me refiero a esto de una manera terrible.,negativo
686,"Los precios son muy razonables, los sabores son acertados, la salsa es casera y la ensalada no está empapada en mayonesa.",positivo
98,"Lo mejor que he encontrado hasta ahora ... He probado otros 2 bluetooth y este tiene la mejor calidad (tanto para mí como para el oyente), así como la facilidad de uso.",positivo
591,La camarera era amable y feliz de satisfacer para vegan / opciones vegetarianas.,positivo
638,¡Tengo que decir que esta película fue excelentemente producida y encabeza las clasificaciones como una película de ciencia ficción típica!,positivo
511,Nunca se sabe si lo presionó lo suficiente o el número correcto de veces para la función que desea o no.,negativo
888,No confíe en su sitio web y no espere ningún apoyo útil.,negativo
727,Los traslados son muy buenos.,positivo
554,Es una pena ver que buenos actores como Thomerson y James se ganen la vida en un lío como este.,negativo
257,Gran auricular,positivo
267,"Una de las mejores películas mexicanas de la historia, y una de las menos entendidas, incluso por parte de los propios mexicanos, sin importar cuán identificados se hayan sentido con ella.",positivo
3,Muy poca música ni nada de lo que hablar.,negativo
992,Duró un día y luego explotó.,negativo
52,Su chow mein es tan bueno!,positivo
883,Esta película trata de ser una película de suspenso / horror seria y sofisticada y falla estrepitosamente.,negativo
0,"Una película muy, muy, muy lenta, sin rumbo sobre un joven angustiado y distraído.",negativo
813,¡Estaba lleno!,negativo
778,La ternera de mi novia era muy mala.,negativo
850,Se ve muy bien.,positivo
476,"Se pierden alrededor de 30 minutos de imágenes para mostrar a los actores mediocres de edad avanzada balbuceando torpemente sobre un pibra pibra satánico satánico lo suficiente como para hacer que un adolescente se ruborice, casi siempre en inglés Olde, y algunas veces en latín que puede o no estar hecho con palabras.",negativo
457,Nargile - Creo que eres genial.,positivo
383,La comida era terrible.,negativo
326,"Sin embargo, los tonos de llamada no son los mejores, y tampoco lo son los juegos.",negativo
154,"Una vez más, ninguna trama en absoluto.",negativo
459,"Este es uno que no tenía, pero lo vi recientemente en Fox Movie Channel, y me decepcionó mucho.",negativo
997,"En general, no me impresionó y no volvería.",negativo
940,Fue igualmente horrible.,negativo
115,El teclado es un buen compromiso entre un QWERTY completo y el teclado del número de teléfono celular básico.,positivo
440,Llevaré los dólares de mi cena de negocios a otra parte.,negativo
216,Yo recomendaría esto.,positivo
641,Muy resistente al viento.,positivo
192,Últimamente han sido extremadamente amables y serviciales en el teléfono.,positivo
860,"Este lugar es bastante bueno, buen ambiente en el restaurante.",positivo
756,Tuve que esperar más de 30 minutos para obtener mi bebida y más tiempo para obtener 2 arepas.,negativo
804,"Sí, es brillante en la parte frontal, ¡y me encanta!",positivo
156,"Este fue un corte diferente al de la pieza el otro día, pero aún así es maravilloso y tierno, así como bien condimentado.",positivo
736,Krussel siempre bien.,positivo
349,"He comido aquí varias veces, y cada vez la comida era deliciosa.",positivo
549,"Soy dueño de un Jabra Earset y estaba muy contento con él, pero la calidad del sonido, especialmente la saliente, es mejor.",positivo
581,"El soporte técnico de Verizon me guió a través de algunos procedimientos, ninguno de los cuales funcionó y terminé teniendo que hacer un restablecimiento completo, eliminando todos mis datos.",negativo
697,No te hace ver bien.,negativo
746,Un extenso menú ofrece muchas opciones para el desayuno.,positivo
876,¡Podrías conducir un camión en estos agujeros!,negativo
671,"Un estudio obligatorio para cualquier persona interesada en los ""peores pecados"" del diseño industrial.",negativo
61,Este lugar recibe estrellas para sus APETIZADORES !!!,positivo
789,Esta es una película extraordinaria.,positivo
814,"Usted comparte la alegría exquisita del general Loewenhielm en su participación de Cailles en Sarcophage a pesar de que solo está viendo una película, pero solo desea una pequeña muestra para saborear.",positivo
23,Es simplemente la forma más elevada y superlativa de cine imaginable. 1,positivo
564,Porciones generosas y gran sabor.,positivo
278,"Lo mejor de todo es la característica de rotación, muy útil.",positivo
901,Su pan tostado regular fue igualmente satisfactorio con las ocasionales palmaditas de mantequilla ... Mmmm ...!,positivo
248,"Desafortunadamente, esta es una mala película que es simplemente mala.",negativo
123,Aconsejo a cualquiera que vaya a verlo.,positivo
486,"En general, califico esta película con un 10 de una escala de 1-10.",positivo
240,"Si verifica la filmografía del director en este sitio, verá por qué esta película no tuvo oportunidad.",negativo
246,"Seriamente sabrosas delicias, amigos.",positivo
707,No se lo recomendaría a otros.,negativo
406,Me gustó.,positivo
8,No hace falta decir que desperdicié mi dinero.,negativo
889,Fue tan fuerte. Me alegra decir que Plantronics 510 mantiene una conexión perfecta con mi celular y no estática durante el uso normal.,positivo
568,La explosión de los tanques de gas al final fue igual de horrible.,negativo
437,Me gustan los Steiners porque es oscuro y se siente como un bar.,positivo
986,Tampoco puede tomar fotografías con él en el caso porque la lente está cubierta.,negativo
509,El guión parece como si solo se escribiera un borrador y el disparo comenzara antes de que se completara el guión.,negativo
427,El camarero era un idiota.,negativo
517,"A primera vista, es un encantador café de panadería: buen ambiente, personal amable y limpio.",positivo
325,"Buen artículo, bajo precio.",positivo
40,"Tiene una gran cámara de 2MP, y las fotos son agradables y claras con una gran calidad de imagen.",positivo
718,Fue un gran teléfono.,positivo
160,"Todo lo que puedo hacer es llorar en Internet, así que aquí va. Cuanto más uso lo que menos me gusta.",negativo
838,"Llegar a la fila inferior es incómodo, y las teclas de envío y finalización no están donde espero que estén.",negativo
894,Este producto es muy alta calidad chino MIERDA !!!!!!,negativo
390,"Si quieres comida sana auténtica o ética, prueba este lugar.",positivo
16,Aconsejo a todos que no se dejen engañar!,negativo
639,Esta es una buena articulación.,positivo
573,"Es casi insoportable de ver en la pantalla, tiene poco o ningún carisma, y ​​un tiempo de comedia terrible.",negativo
382,"Creo que las partes más maravillosas (literalmente, llenas de asombro) son los extractos de sus obras.",positivo
586,"Con todo, puedo asegurarles que volveré.",positivo
0,Wow ... Me encantó este lugar.,positivo
140,¡No lo hagas!,negativo
79,Compré esto y en 2 días ya no funcionaba !!!!!!!!!,negativo
153,Crostini que venía con la ensalada estaba rancio.,negativo
594,Mejor que nuevo.,positivo
261,"He estado en más de unos pocos bares en Las Vegas, y no recuerdo haber sido cobrado por el agua del grifo.",negativo
919,"Saggy, disquete pieza de chatarra.",negativo
493,Tuve Verizon hace 2 años y realmente me gustó su servicio.,positivo
684,Abundan las falsificaciones chinas !.,negativo
981,Comenzamos con el sashimi de atún que era de color marrón y obviamente no era fresco.,negativo
414,"Después de un año, la batería se agotó completamente en mis auriculares.",negativo
914,El otro día vi este cortometraje en HBO y me encantó.,positivo
214,"La vida de Ray Charles proporcionó excelente material biográfico para la película, que va más allá de ser solo otra película sobre un músico.",positivo
19,Encaja en su lugar de manera que usted se pregunte cuánto durará ese mecanismo.,negativo
302,Alguien debería haber inventado esto antes.,positivo
939,"El edificio en sí parece bastante limpio	 el baño es bastante trippy, pero no volvería a comer aquí.",negativo
115,Echale un vistazo.,positivo
523,"La Casa del Camino de 20th Century Fox, 1948) no solo es un tonto noir, sino que es un aburrimiento implacable y no mitigado de una película.",negativo
2,"Intentando la astucia con ángulos de cámara en blanco y negro e inteligentes, la película decepcionó, se volvió aún más ridícula, ya que la actuación era deficiente y la trama y las líneas casi inexistentes.",negativo
809,Cinematografía: La película fue filmada de una manera interesante.,positivo
770,Mi sashimi era de mala calidad al estar empapado y sin sabor.,negativo
831,Ver ambas películas si puedes.,positivo
25,"Así es ... el pastel de terciopelo rojo ... ohhh, esto es muy bueno.",positivo
830,Míralo con tus hijos si tienes una oportunidad: abrirá un diálogo asombroso sobre hasta qué punto han llegado las relaciones raciales en los últimos 50 años.,positivo
407,Funciona genial.,positivo
912,"Me sentí insultado y faltado al respeto, ¿cómo podrías hablar y juzgar a otro ser humano así?",negativo
776,¿Por qué se hizo esta película?,negativo
210,"No me molesté en contactar a la compañía por un producto de pocos dólares, pero aprendí la lección de que no debería haber comprado este formulario en línea de todos modos.",negativo
842,Terrible .. Mi coche no aceptará este cassette.,negativo
856,Fiabilidad pobre.,negativo
688,El bistec era increíble ... rge filete relleno fue el mejor plato de mariscos que he tenido!,positivo
221,El servicio era un poco escaso.,negativo
196,¡Te encantará!,positivo
983,Voy a tener que ser el primero en revisar negativamente este producto.,negativo
994,Tipo de fracasos alrededor.,negativo
567,La comida estaba deliciosa!,positivo
340,"Pero no fue nada en absoluto, solo un gran bostezo ...",negativo
584,"Después de que detuve mi auto, esperé otros 15 minutos antes de ser reconocido.",negativo
11,"La película mostró mucho de lo mejor de Florida, lo hizo parecer muy atractivo.",positivo
631,Pero no fue hasta que vi esta película que me di cuenta de lo bueno que era en realidad.,positivo
82,"Bien embalado, llegó a tiempo, y funciona según lo previsto.",positivo
141,"Durante varias llamadas de 2 minutos diferentes, experimenté 5 caídas y estaba en un área que tenía 5 barras.",negativo
162,Horrible.,negativo
259,Muy duro y muy corto en sabor!,negativo
518,El teléfono es robusto e impermeable.,positivo
494,Bonita pieza de chatarra.,negativo
694,"El diseño podría ser ergonómico en teoría, pero no podría soportar tener esto en mi oído.",negativo
227,Estoy un poco decepcionado.,negativo
744,"El personaje de Emily Watson es muy fuerte, y solo tiene que echarle un vistazo rápido y usted entiende todo.",positivo
133,"En definitiva, una gran decepción.",negativo
779,"Lamentablemente, no fue bueno.",negativo
66,Hay una escena totalmente innecesaria de tren / montaña rusa.,negativo
427,"Otra nota sobre la apariencia de este teléfono es que realmente parece bastante insípida, especialmente en el modelo totalmente negro.",negativo
990,"Estoy realmente decepcionado, todo lo que tengo ahora es un cargador que no funciona.",negativo
37,"Cómpralo, juega, disfrútalo, ámalo. 1",positivo
13,"Probé el ravoli de Cape Cod, pollo, con arándano ... mmmm!",positivo
936,"La sangría era aproximadamente la mitad de un vaso de vino lleno y costaba $ 12, ridículo.",negativo
73,Desperdiciado dos horas,positivo
280,"Buen producto, buen vendedor.",positivo
238,Estaba muy emocionada de obtener este auricular porque pensé que era realmente lindo.,positivo
150,Mi novio y yo vinimos a la mitad del día y nos saludaron y nos acomodaron de inmediato.,positivo
737,Pruébalos en el aeropuerto para experimentar una comida sabrosa y un servicio rápido y cordial.,positivo
602,Esos teléfonos están funcionando bien ahora.,positivo
342,¡UNA PIEZA DE DESPERDICIOS QUE SE ROMPIÓ DESPUÉS DE ESTAR EN MI TELÉFONO POR 2 DÍAS!,negativo
777,VALE LA PENA.,positivo
884,"En tres ocasiones diferentes pedí bien o medio bien, y las tres veces obtuve el trozo de carne más sangriento en mi plato.",negativo
824,Servicio horrible,negativo
970,"Inmediatamente dije que quería hablar con el gerente, pero no quería hablar con el tipo que estaba haciendo disparos de bola de fuego detrás de la barra.",negativo
59,Los botones de encendido y apagado son malos.,negativo
179,Literalmente nos sentamos allí por 20 minutos sin que nadie nos pidiera que tomáramos nuestro pedido.,negativo
860,"Si alguna vez hubo una indicación de la capacidad de un escritor y un director para fusionar dos temperamentos altamente volátiles en una unión perfecta de creatividad, ¡entonces esto es todo!",positivo
495,Y entonces la tragedia golpeó.,negativo
195,¡El mejor lugar para un sabroso tazón de Pho!,positivo
41,No me impresionó este producto.,negativo
529,Bateria Razr - Buena compra.,positivo
320,Esta es en realidad una película muy inteligente.,positivo
941,He probado estos cables con mi computadora y mi iPod y funciona bien.,positivo
456,Envío oportuno y producto de calidad.,positivo
875,Casi no había carne.,negativo
871,El guión es terriblemente estúpido.,negativo
119,"Aunque me gustó mucho el aspecto y el sonido de este lugar, la experiencia real fue un poco decepcionante.",negativo
525,REALMENTE FEO.,negativo
82,El pavo y la carne asada eran sosos.,negativo
621,¡¡¡Muy decepcionante!!!,negativo
298,El servicio al cliente fue terrible.,negativo
84,"Este artículo funcionó muy bien, pero se rompió después de 6 meses de uso.",negativo
643,Tal vez si no estuvieran fríos hubieran sido algo comestibles.,negativo
374,No es un buen artículo. Funcionó por un tiempo y luego comenzó a tener problemas en mi reproductor de cintas con inversión automática.,negativo
60,Al menos piensa en rellenar mi agua antes de que luche para hacerte un saludo durante 10 minutos.,negativo
366,"Estoy muy complacido de saber que un genio tan moderno está ahí afuera, dejar que la pasión por el Arte lo lleve y nos lleve como audiencia con él.",positivo
219,- La comida es rica así que ordene en consecuencia.,positivo
457,Buen teclado sólido.,positivo
607,¡Es simplemente doloroso!,negativo
326,No es solo un culto ... es un culto CLÁSICO.,positivo
612,Me gusta el diseño y el aspecto de Jabra entre los auriculares y el 5020 es bastante cómodo de usar las 24 horas del día sin dolor en el oído.,positivo
174,El explorador de archivos ofrece todas las opciones que uno necesita. Handfree es genial.,positivo
359,"El micrófono también funciona bien, pero (según la gente a la que he llamado) lo aplica todo.",positivo
226,¡Esto es un GANGA increíble!,positivo
271,Allá arriba con lo mejor de Melville.,positivo
586,¿Es posible que una película se ponga peor que esto?,negativo
847,"1 hora y 54 minutos de puro tedio, melodrama y actuación horrible, un lío de un guión y un sentimiento de hundimiento de BUEN SEÑOR, ¿QUÉ PENSABAN?",negativo
652,El auricular de esto es demasiado grande o demasiado pesado ... sigue cayendo de mi oído.,negativo
636,"Jimmy Stewart es, como siempre, un gran héroe para Hitchcock, la historia llega a su clímax en una función de embajada, pero carece de la amenazante amenaza del original en blanco y negro y bajo presupuesto de Hitchcock.",positivo
638,Utilicé bitpim (un programa gratuito que puede encontrar en Internet) para transferir datos al teléfono. El precio del cable fue excelente.,positivo
104,Demasiado políticamente correcto.,negativo
117,Es muy cómodo en la oreja.,positivo
203,La mejor electrónica de los transmisores FM disponibles.,positivo
807,Ni un solo empleado salió a ver si estábamos bien o incluso necesitábamos una recarga de agua una vez que finalmente nos sirvieron nuestra comida.,negativo
754,La cámara del teléfono se puede usar como recogedor cuando está en interiores ... Prefiero usar un desechable en lugar de esto.,negativo
669,Google mediocre y me imagino que Smashburger aparecerá.,negativo
837,Tampoco me gusta este Nokia.,negativo
256,El cable se ve tan delgado y endeble que da miedo.,negativo
478,"Mantiene un cargo durante mucho tiempo, es razonablemente cómodo en condiciones de larga duración y la calidad del sonido es tremenda.",positivo
183,Tal vez habría una explicación razonable para esta atrocidad.,negativo
561,"Por favor, no pierdas tu dinero.",negativo
392,"He estado aquí varias veces en el pasado, y la experiencia siempre ha sido excelente.",positivo
777,"Entonces, en pocas palabras: 1) El restaurante huele a una combinación de un mercado de pescado sucio y una alcantarilla.",negativo
121,La película te tenía al borde de tu asiento y te daba un poco de miedo de ir a tu auto al final de la noche.,positivo
268,¡No desperdicies tu dinero !.,negativo
906,"Pero a pesar de estos pocos defectos, este caso es de una calidad excepcional y bien vale la pena los costos adicionales de poseer un producto OEM oficial.",positivo
961,"Si alguien pide dos tacos, ¿no cree que puede ser parte del servicio al cliente preguntar si es un combo o un carrito?",negativo
701,¡Qué horrible es ella!,negativo
716,"Dejó de funcionar después de haberlo usado durante aproximadamente 18 meses, así que compré otro porque es el mejor auricular que he tenido.",positivo
417,Este es el primer teléfono que he tenido que ha sido tan barato.,negativo
712,"Stanwyck y Morgan están perfectamente fundidos en lo que es, en muchos sentidos, un equivalente moderno al villancico de Dickens en su sensibilidad.",positivo
960,"Insultos, embatimiento profundo, y tuvimos que salir para una pausa para fumar, mientras servíamos solo para solidificarlo.",negativo
929,Como he dicho anteriormente ... ¡BONITO DE UTILIDAD!,negativo
19,"""La estructura de esta película es fácilmente la más estrechamente construida en la historia del cine. 1",positivo
485,"Este no es un pequeño restaurante familiar, es un excelente restaurante.",positivo
322,El Ngage todavía carece de auriculares.,negativo
618,Necesita dos manos para operar la pantalla. Esta interfaz de software tiene una década de antigüedad y no puede competir con los nuevos diseños de software.,negativo
199,La película es demasiado larga.,negativo
841,La comida salió a buen ritmo.,positivo
491,El menú tenía tantas cosas buenas que no pude decidir!,positivo
107,"Me encantan mis auriculares 350. Mis auriculares Bluetooth Jabra350 son excelentes, la recepción es muy buena y el auricular es un ajuste cómodo.",positivo
97,El elenco de actores veteranos es más que un simple viaje de nostalgia.,positivo
347, Pero Storm Trooper ni siquiera es lo suficientemente malo como para llegar a la lista de películas maravillosamente terribles.,negativo
917,Tengo una intoxicación alimentaria aquí en el buffet.,negativo
962,"Estaba bastante decepcionada, aunque hay que culpar a alguien de su puerta.",negativo
237,Pero lo que realmente lo hizo invencible fue la dirección.,negativo
111,La dirección y la cinematografía no son tan buenas.,negativo
741,"Tiene una trama muy buena, tiene toda su atención, la actuación es excelente, Tom Wilkinson fue fantástico y Emily Watson también fue muy buena.",positivo
334,"En particular, la relación entre el asistente de panadería y la camarera simplemente no funcionó para mí en absoluto.",negativo
895,Primero quiero decir que nuestro servidor fue excelente y que tuvimos un servicio perfecto.,positivo
592,"Dios mío, sentí que nunca había comido comida tailandesa hasta este plato.",positivo
81,Esto si es la primera película que le he dado un 10 a en años.,positivo
123,Mala calidad.,negativo
566,Los efectos visuales fueron impresionantes.,negativo
577,El servicio era bueno y la compañía era mejor!,positivo
571,"Recientemente, también fuimos testigos de su mala calidad de gestión hacia otros huéspedes.",negativo
891,Sus cervezas de barril giratorias también son un punto culminante de este lugar.,positivo
531,Se niegan a reembolsar o reemplazar.,negativo
